symbol,buy_date,buy_price,shares,invested,current_value,hold_days,bounce_score,highlight_reason,exit_date,sell_price,result,profit,pct_change
BPOPM,2025-01-02,25.6299991607666,3901.6778491774626,100000.0,100741.3208750645,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-01-17,25.920000076293945,TIME,1131.4901483542199,1.1314901483542215
XRMI,2025-01-21,19.600000381469727,5159.769805105012,101131.49014835422,100305.9277668558,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-02-05,19.399999618530273,TIME,-1031.9578976129706,-1.020412035953521
VLYPP,2025-02-06,25.1299991607666,3983.268427920141,100099.53225074125,100458.02701705259,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-02-24,25.219999313354492,TIME,358.49476631134166,0.35813830319740103
HYEM,2025-02-25,19.799999237060547,5073.637923632886,100458.02701705259,99494.04277914373,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-03-12,19.649999618530273,TIME,-761.0437531056523,-0.7575738601520369
BDMD,2025-03-13,5.309999942779541,18775.326617378483,99696.98326394694,103452.05395908667,0,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-03-14,5.734799938201904,WIN,7975.75866111576,8.000000000000002
CMCI,2025-03-17,25.424400329589844,4235.015989728153,107672.7419250627,108155.95514283906,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-04-01,25.639999389648438,TIME,913.0654667185154,0.8480005713553516
MIN,2025-04-02,2.7100000381469727,40068.563049183336,108585.80739178121,106181.69590157179,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-04-17,2.6449999809265137,TIME,-2604.4588909384765,-2.3985260629333545
ARCM,2025-04-21,100.54900360107422,1054.0268397021737,105981.34850084274,105655.54361947575,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-05-06,100.25,TIME,-315.1578206998238,-0.29737102344694377
STE,2025-05-07,223.55999755859375,472.6524952320615,105666.19068014291,107528.44266529399,5,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-05-15,241.44479736328125,WIN,8453.295254411423,8.000000000000002
GTOS,2025-05-16,24.93000030517578,4577.59665212927,114119.48593455434,113908.45590700848,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-06-03,24.905000686645508,TIME,-114.43817008868791,-0.10027925481045101
SZNE,2025-06-04,34.369998931884766,3316.9930552050178,114005.04776446565,112379.72825327681,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-06-20,34.055198669433594,TIME,-1044.1902843272546,-0.9159158342572256
NCDL,2025-06-23,16.65999984741211,6780.363656346925,112960.8574801384,112757.44191474174,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-07-09,16.790000915527344,TIME,881.4545175348176,0.780318543252737
BAK,2025-07-10,3.559999942779541,31978.178041426752,113842.31199767321,109045.58986597427,3,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-07-16,3.3463999462127685,LOSS,-6830.5387198604,-6.000000000000002
MEGI,2025-07-17,14.420000076293945,7421.066068767712,107011.77327781281,106418.08855849381,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-08-01,14.350000381469727,TIME,-519.4723600841098,-0.4854347742986228
VIXM,2025-08-04,16.920000076293945,6293.871184252035,106492.3009177287,104730.01266447976,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-08-19,16.649999618530273,TIME,-1699.3481008536328,-1.5957473791147356
LGHT,2025-08-20,10.479900360107422,9999.42262960608,104792.95281687507,102794.0619622166,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-09-05,10.427800178527832,TIME,-520.9717346935358,-0.49714386386642895
XHYF,2025-09-08,39.13999938964844,2664.0772281094846,104271.98108218153,101661.186618152,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-09-23,38.29560089111328,TIME,-2249.542811397361,-2.1573799481419482
MSTI,2025-09-24,20.764999389648438,4913.192452181982,102022.43827078417,101580.25020039412,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-10-09,20.665000915527344,TIME,-491.31174828148505,-0.4815722468595111
HCXY,2025-10-10,25.450000762939453,3989.4351072222103,101531.12652250269,102448.69477094534,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-10-27,25.399999618530273,TIME,-199.47632090726984,-0.19646814503043886
TOGA,2025-10-28,35.5,2854.412681735082,101331.65020159542,96960.68922932529,6,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-11-06,33.37,LOSS,-6079.899012095731,-6.000000000000007
CSBR,2025-11-07,6.6656999588012695,14289.834792778363,95251.75118949969,96742.18127455255,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-11-24,6.539999961853027,TIME,-1796.2321898431255,-1.8857734030207913
XIMR,2025-11-25,31.08609962463379,3006.3443187835283,93455.51899965656,93346.98880456986,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-12-11,31.030000686645508,TIME,-168.6527235108515,-0.18046309657911008
CMDT,2025-12-12,27.700000762939453,3367.756812518093,93286.86627614571,93472.08750510566,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2025-12-30,27.989999771118164,TIME,976.6461354173516,1.0469277985244971
ENFR,2025-12-31,31.520000457763672,2990.5936244472696,94263.51241156306,95190.59483799241,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2026-01-16,32.34000015258789,TIME,2452.2858593900164,2.601521836660523
GTEN,2026-01-20,10.319999694824219,9371.686156101232,96715.79827095308,96996.9552906623,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2026-02-04,10.390000343322754,TIME,656.0241084518202,0.6783008776021818
VNMEU,2026-02-05,10.239999771118164,9508.96724178074,97371.8223794049,97371.8223794049,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2026-02-20,10.239999771118164,TIME,0.0,0.0
HYUP,2026-02-23,42.40999984741211,2295.963752174986,97371.8223794049,96125.79889930645,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2026-03-10,41.84000015258789,TIME,-1308.698638067217,-1.3440219214219133
WDGF,2026-03-11,35.06999969482422,2739.182337532643,96063.12374133768,93351.33907870513,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2026-03-26,32.965799713134764,LOSS,-5763.787424480266,-6.0000000000000036
FERA,2026-03-27,10.295000076293945,8771.18364717525,90299.33631685741,90562.46948411394,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2026-04-14,10.319999694824219,TIME,219.27624523834675,0.24283262112682708
PLMK,2026-04-15,10.579999923706055,8555.634519360952,90518.61256209576,90604.17086551871,10,100.0,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2026-04-30,10.600000381469727,TIME,171.1166068458988,0.18904024487616386
